VisaClass|Description
K-2|Child of K-1 101(a)(15)(K)(iii)
K-3|Certain spouse of U.S. Citizen 101(a)(15)(K)(ii)
K-4|Child of K-3 101(a)(15)(K)(iii)
L-1|Intracompany transferee (executive, managerial, and specialized personnel continuing employment with international firm or corporation) 101(a)(15)(L)
L-2|Spouse or child of intracompany transferee 101(a)(15)(L)
M-1|Vocational student and other nonacademic student 101(a)(15)(M)(i)
M-2|Spouse or child of vocational student 101(a)(15)(M)(ii)
N-8|Parent of SK-3 or SN-3 special immigrant 101(a)(15)(N)(i)
N-9|Child of N-8 or of SK-1, SK-2, SK-4, SN-1, SN-2, or SN-4 special immigrant 101(a)(15)(N)(ii)
NATO-1|Principal permanent representative of member state to NATO (including any of its subsidiary bodies) resident in the U.S. and resident members of official staff; principal NATO officers; and immediate family
NATO-2|Other representative of member state to NATO (including any of its subsidiary bodies) and immediate family; dependents of member of a force entering in accordance with the provisions of the NATO agreements; members of such a force if issued visas
NATO-3|Official clerical staff accompanying a representative of member state to NATO, and immediate family Art. 14, 5 UST 1096
NATO-4|Official of NATO (other than those classifiable as NATO-1), and immediate family Art. 18, 5 UST 1098
NATO-5|Experts, other than NATO-4 officials, employed in missions on behalf of NATO, and their dependents Art. 21, 5 UST 1100
NATO-6|Member of a civilian component accompanying a force entering in accordance with the provisions of the NATO agreements, and their dependents
NATO-7|Attendant, servant, or personal employee of NATO-1 through NATO-6, and immediate family Arts. 12–20, 5 UST 1094–1098
O-1|Person with extraordinary ability in sciences, arts, education, business or athletics 101(a)(15)(O)(i)
O-2|Person accompanying and assisting in the artistic or athletic performance by O-1 101(a)(15)(O)(ii)
O-3|Spouse or child of O-1 or O-2 101(a)(15)(O)(iii)
P-1|Internationally recognized athlete or member of internationally 101(a)(15)(P)(i) recognized entertainment group
P-2|Artist or entertainer in a reciprocal exchange program 101(a)(15)(P)(ii)
P-3|Artist or entertainer in a culturally unique program 101(a)(15)(P)(iii)
P-4|Spouse or child of P-1, P-2, or P-3 101(a)(15)(P)(iv)
Q-1|Participant in an international cultural exchange program 101(a)(15)(Q)(i)
R-1|Alien in a religious occupation 101(a)(15)(R)
R-2|Spouse or child of R1 101(a)(15)(R)
S-5|Informant possessing critical reliable information concerning criminal organization or enterprise 101(a)(15)(S)(i)
S-6|Informant possessing critical information concerning terrorist organization, enterprise, or operation 101(a)(15)(S)(ii)
S-7|Spouse, married or unmarried son or daughter, or parent of S-5 or S-6 101(a)(15)(S)
T-1|Victim of a severe form of trafficking in persons 101(a)(15)(T)(i)
T-2|Spouse of T1 101(a)(15)(T)(ii)
T-3|Child of T1 101(a)(15)(T)(ii)
T-4|Parent of T1 under 21 years of age 101(a)(15)(T)(ii)
T-5|Unmarried sibling under age 18 of T-1 under 21 years of age 101(a)(15)(T)(ii)
T-6|Adult/minor child of derivative beneficiary of T-1 101(a)(15)(T)(ii)
TN|NAFTA professional 214(e)(2)
TD|Spouse or child of TN 214(e)(2)
U-1|Victim of criminal activity INA 101(a)(15)(U)(i).
U-2|Spouse of U-1 101(a)(15)(U)(ii)
U-3|Child of U-1 101(a)(15)(U)(ii)
U-4|Parent of U-1 under 21 years of age 101(a)(15)(U)(ii)
U-5|Unmarried sibling under age 18 of U-1 under 21 years of age 101(a)(15)(U)(ii)
